Genes,R1_6,R1_21,R2_12,R2_17,R1_9,R2_3,R1_11,R1_17,R1_1,R2_9,R1_15,R1_22,R2_10,R1_16,R2_14,R1_20,R1_18,R1_19,R1_4,R1_2,R1_10,R1_12,R2_16,R2_13,R1_5,R1_7,R2_15,R2_18,R2_5,R2_1,R1_14,R2_2,R2_6,R1_3,R2_7,R2_8,R1_24,R1_8,R2_4,R1_23,R1_13,R2_11
MEG_2720|Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|EMMDR,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0
MEG_7868|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,78,288,4639,63,130,216,530,200,208,3583,500,273,347,578,157,725,166,0,81,83,149,333,55,196,240,52,271,92,120,364,317,231,0,0,507,47492,118,70,34,44,92,261
MEG_2904|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,1019,19,47,71,44,2748,66,1333,54,31,46,103,0,166,68,193,0,0,64,37,0,40,281,215,0,3762,152,0,0,93,187,514,0,0,0,50,90,60,0,0,0,148
MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0
MEG_7170|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3767,15231,4728,49161,5892,12319,16592,20630,9614,15494,12455,13551,7353,15648,10572,24797,14436,0,1468,5741,6792,12324,3073,20854,4486,5623,4545,27768,10945,7935,13290,8218,1889,1181,12506,17817,2229,2393,1645,4401,4300,12675
MEG_3525|Drugs|betalactams|Class_B_betalactamases|L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,131,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0
MEG_742|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,47,0,0,0,26,39,0,0,24,0,17,1000,0,0,0,36,0,0,0,150,84,58,62,23,0,15,21,0,0,63,0,39,0,0,137,0,17,13,0,0,0,0
MEG_2744|Drugs|MLS|Macrolide_esterases|EREA,0,0,0,0,39,105,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,585,84,0,0,0,0,0,0,0,73,123,0,0
MEG_883|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,322,424,2414,93,297,494,543,317,274,1689,396,1295,2915,845,103,1265,300,0,122,281,298,690,526,119,495,260,1584,326,407,1693,535,1064,278,125,566,2141,280,164,285,453,160,852
MEG_6986|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
MEG_1214|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRB,0,17,164,0,0,40,0,76,0,65,11,91,27,53,41,43,24,0,0,20,0,77,17,67,0,0,19,0,0,0,36,0,0,0,194,116,0,0,0,0,0,77
MEG_1834|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,29,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1159|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0,0,85,0,0,36,11,14,21,33,14,19,17,53,31,116,20,0,0,24,0,21,17,59,0,0,11,0,0,0,20,0,0,0,63,50,0,0,0,0,0,40
MEG_834|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,87,102,0,0,170,215,79,130,23,0,78,382,0,228,0,279,0,0,0,97,147,592,0,0,78,98,14,0,146,502,219,314,0,34,0,0,97,67,79,130,90,0
MEG_4808|Drugs|betalactams|Class_D_betalactamases|OXA,67,61,0,0,409,71,0,0,0,0,42,60,0,65,0,504,0,0,0,0,0,0,0,0,277,48,0,0,389,688,177,287,0,110,0,0,75,29,176,86,0,0
MEG_6878|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,135,0,72,0,0,0,0,56,0,0,17,0,0,0,0,0,0,0,0,20,0,0,38,0,0,93,0,39,21,0,0,0,0,27,0,0,0,0,0,0
MEG_2727|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRCSM,315,319,0,0,0,0,0,0,505,0,0,172,0,0,0,523,0,0,0,473,0,1103,0,0,0,0,0,0,0,414,0,0,0,193,0,0,0,645,0,0,0,0
MEG_7850|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZIPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,232,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
MEG_6077|Drugs|betalactams|Class_A_betalactamases|ROB,151,1386,5922,277,226,483,1381,534,1211,5395,1829,1257,9473,1864,282,2877,1064,0,489,460,615,1259,475,587,789,430,1014,382,284,1547,1550,1708,460,36,5052,2037,577,119,195,169,583,367
MEG_1926|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,21,0,0,0,0,2160,0,0,0,0,0,0
MEG_7073|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE,0,0,0,0,40,44,103,42,0,0,36,0,0,0,0,114,0,0,61,0,0,0,0,16,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7835|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF,243,1097,18262,93,350,607,2376,866,703,14513,1885,694,1331,2304,525,3170,661,0,287,349,770,1320,191,750,1021,393,1024,727,375,1046,954,1700,0,73,1638,208481,350,214,154,225,485,829
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,0,0,227,0,269,0,0,0,0,0,61,0,113,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0
MEG_6951|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,40,0,17,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
MEG_2133|Drugs|Fluoroquinolones|Fluoroquinolone_resistance_phosphotransferase|CRPP,53,0,0,0,0,0,0,4,0,0,6,2,0,15,0,27,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
MEG_1949|Drugs|betalactams|Class_C_betalactamases|CMY,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495,0,0,0,0,0,0
MEG_3606|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,891,35898,3266,14902,1427,2363,4422,2926,3066,3448,4276,2220,902,3647,648,10369,1762,0,416,1868,3243,2414,160,1523,2542,1844,189,10688,3423,4973,2518,5549,3362,36,4061,31209,876,705,968,666,431,1429
MEG_1072|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,360,0,0,0,17,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2551|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,21,49,87,0,85,55,49,44,71,12,69,62,8,78,0,220,14,0,0,28,0,73,0,0,78,89,9,0,87,163,140,229,0,0,38,10,44,31,22,80,31,4
MEG_840|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,267,276,466,40,317,461,249,305,201,480,227,2148,677,678,621,793,175,0,66,299,251,512,453,568,314,358,134,51,385,1219,447,694,198,18,1554,449,201,88,189,220,93,486
MEG_2814|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,3451,3261,117,213,414,249,46,123,1679,12,209,19481,61,404,38,76,37,0,36550,4273,1184,109,157,253,14970,809,172,1098,443,16721,28684,4086,1343,3046,16,71,42139,132,117,20285,3963,74
MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,538,607,13889,155,466,386,877,333,230,5023,560,328,352,1400,42,1592,125,0,68,139,0,425,1101,95,1409,198,5322,466,1075,2133,465,3159,0,233,184,1303,141,152,359,1634,173,3932
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,0,252,0,0,0,0,207,0,165,118,231,104,46,98,0,294,56,0,0,0,0,217,0,0,0,0,0,0,0,0,123,0,0,0,0,755,35,0,0,0,137,0
MEG_2655|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,0,35,182,0,0,29,36,30,53,382,52,39,188,52,13,104,41,0,38,14,0,35,36,16,41,36,8,0,16,88,37,88,15,0,104,676,19,0,11,13,10,36
MEG_746|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,120,106,643,63,135,127,82,69,66,490,57,1051,88,167,259,332,38,0,28,154,55,135,149,68,69,65,308,64,213,266,107,219,90,19,332,20,49,22,47,125,26,114
MEG_2057|Metals|Copper_resistance|Copper_resistance_protein|COPF,0,155,0,0,565,0,0,0,471,0,0,127,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,311,0,0,0,183,0,0,372,542,0,109,0,0
MEG_4120|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRAN,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,222,0,0,0,0,0,279,0,0,0,229,0,0,0,58,0,0,0,0,0,0,0,0
MEG_1817|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,36,0,0,58,22,0,0,20,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2954,0,0,0,0,0,0
MEG_6701|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,28,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1388|Drugs|betalactams|Class_A_betalactamases|BLAZ,189,27,0,0,0,0,0,0,49,0,0,787,181,145,0,0,0,0,316,118,0,0,21,32,87,114,0,0,0,312,145,2448,218,85,0,0,227,0,0,160,0,0
MEG_3447|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KDEA,0,0,155,0,168,0,0,0,0,0,0,0,98,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0
MEG_6838|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_397|Metals|Iron_resistance|Iron_resistance_protein|ACN,0,0,0,0,8952,0,0,0,0,0,0,0,0,0,0,3030,0,0,0,0,0,0,0,0,0,0,0,4003,0,0,0,0,0,0,0,0,0,5792,0,0,0,0
MEG_4070|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,626,600,129,99,115,577,56,522,357,0,150,4739,24,277,192,199,2844,0,1181,1114,1494,83,217,176,7234,2954,482,181,249,3800,1324,4870,2067,3086,76,284,2340,1148,14919,12516,3995,183
MEG_5207|Drugs|betalactams|Class_D_betalactamases|OXA,179,78,12,0,103,263,37,136,58,39,77,1521,201,221,0,335,0,0,0,213,0,259,0,0,191,60,0,0,281,919,201,244,0,30,14,83,110,33,128,160,31,0
MEG_5852|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,250,269,10,53,239,612,75,229,121,92,159,767,15,793,0,608,79,0,119,264,201,944,16,18,403,272,19,0,411,1705,414,1122,631,89,19,7,1289,234,413,382,26,52
MEG_881|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2449,3079,93,0,1944,9143,1375,5227,2902,37,1925,14828,102,8313,18,18756,1322,0,709,2368,0,2283,24,57,3290,2551,56,0,8876,16277,10025,11934,3607,866,0,0,3249,1106,3237,4873,1560,192
MEG_990|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,9,0,0,0,35,30,0,44,8,16,0,12,0,46,83,20,0,0,0,0,32,0,41,0,0,0,0,0,0,66,0,0,0,14,0,0,0,0,0,0,48
MEG_7598|Drugs|Glycopeptides|VanD-type_accessory_protein|VANYB,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
MEG_7050|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,5273,17990,16379,127391,19341,39207,7821,60152,24071,19889,10150,29768,16808,35523,62217,36113,32374,0,10289,13640,8813,6472,41773,112547,12567,54498,23667,66749,40239,49361,49255,47520,28236,0,14895,15992,8260,4704,7463,2445,2174,74475
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,0,377,3290,0,177,0,411,165,245,1824,409,171,199,722,0,760,141,0,0,0,0,230,0,156,0,0,0,0,265,527,267,885,0,0,877,31767,0,0,0,0,0,222
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,121,919,10864,148,267,567,1541,628,573,9142,1037,481,465,2001,318,2286,468,0,201,284,1013,831,167,553,452,230,537,0,353,1268,536,1001,0,0,1269,185601,223,183,121,155,255,761
MEG_7063|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,0,41,0,0,50,0,67,0,0,325,0,27,0,161,0,75,0,0,0,0,0,121,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,92,42,0
MEG_7146|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1473,1770,5356,12722,2023,3762,782,4624,1339,3389,1158,2507,5880,2437,12726,2069,857,0,6095,881,1575,556,26125,29197,758,4314,9850,6163,3317,2998,5891,3521,4154,520,2859,2273,5708,1021,1822,2473,392,14656
MEG_5310|Drugs|betalactams|Class_A_betalactamases|OXY,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3863|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,431,205,75,54,280,215,134,143,346,114,148,170,48,293,24,408,26,0,128,553,596,468,6,0,408,246,39,291,263,466,166,302,113,289,47,51,1137,255,194,154,23,27
MEG_7829|Metals|Copper_resistance|Copper_resistance_regulator|YFMP,0,9,52,0,12,25,0,19,0,21,0,10,0,15,18,90,25,0,0,22,0,24,0,40,46,64,11,0,0,0,23,0,0,0,23,19,0,0,0,0,0,16
MEG_2575|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRD,188,50,221,113,60,128,70,72,72,105,83,91,55,127,33,221,34,0,63,51,52,45,232,193,86,112,399,213,147,210,179,177,223,9,0,83,23,47,44,21,10,739
MEG_1793|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,21,0,0,28,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1702,0,0,0,0,0,0
MEG_1818|Drugs|betalactams|Class_C_betalactamases|CMY,26,0,0,0,0,0,35,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2939,0,0,0,0,0,0
MEG_845|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,232,221,824,55,243,465,213,229,154,632,174,587,1043,535,33,710,128,0,35,145,0,467,173,35,216,133,488,47,306,1026,256,775,188,75,184,666,142,92,216,305,84,241
MEG_4069|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRA,1868,2123,0,0,198,1362,0,1289,1043,0,278,15125,0,571,0,235,7093,0,3550,2965,2854,154,0,98,15955,7427,0,0,446,8547,2490,11705,5161,6753,0,0,6978,2688,33005,28387,10527,0
MEG_1518|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,5875,30456,8514,43850,9364,16408,27096,25610,19795,31786,20747,31027,16397,29611,16820,42718,28540,0,2911,11437,14695,20962,4632,36178,8132,7095,5368,30761,15275,16442,22926,16484,3005,1763,22841,36288,4501,3777,2879,7100,6355,17723
MEG_6973|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33,15702,22889,21480,14678,30470,44248,16290,50430,18485,11869,14690,94354,28691,56125,168061,43782,9787,0,3508,36103,11601,37557,121386,91996,10196,24480,28293,19521,32320,53599,32931,33532,7644,34853,31760,36972,11228,8177,8583,114953,50613,89817
MEG_7219|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2959,24680,4816,33892,6305,14555,20721,24696,11463,17025,17668,14386,5041,20121,13048,34688,16584,0,1703,5882,7913,15059,2998,31002,6480,7117,4483,36261,11410,12033,16438,11624,2704,342,19945,24025,3187,3095,2217,2481,3563,19807
MEG_7141|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,867,966,3152,11525,1396,2894,496,3160,851,1429,770,1330,4099,1366,9404,1319,480,0,3523,455,1091,353,17032,15463,451,2906,7784,5526,2506,1596,3300,1945,2540,249,989,1655,3030,694,1045,614,156,9034
MEG_6877|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,117,0,62,0,0,0,0,30,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,70,373,5478,86,160,345,634,323,326,3122,452,298,312,965,155,1200,240,0,150,145,164,340,41,240,506,287,285,403,200,756,375,864,149,9,386,53216,215,136,79,89,96,254
MEG_7244|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,3777,3093,41190,11000,3845,4445,3662,3137,2412,19931,3186,3808,2127,7936,4996,10139,1847,0,1309,1799,2408,4850,55848,1817,7234,2135,113758,8969,7598,16642,6225,22929,10269,173,7415,10020,1673,1622,2613,3477,342,28514
MEG_1538|Drugs|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3117|Drugs|betalactams|Class_A_betalactamases|GES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_87|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1005|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,603,122,902,229,115,266,172,162,167,659,148,1412,179,317,399,341,69,0,108,290,256,435,653,640,326,454,946,57,218,302,310,563,215,0,274,245,51,58,100,61,32,1050
MEG_2911|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,243,340,1971,0,423,457,211,271,159,1134,313,234,104,862,354,757,100,0,58,107,176,593,1890,47,408,182,4601,157,553,1406,396,1650,0,74,46,273,138,200,305,605,95,545
MEG_4037|Drugs|MLS|Macrolide_phosphotransferases|MPHC,5505,556,95,89,524,3779,126,1231,671,18,654,25702,39,2488,209,820,37218,0,5849,3796,8618,173,223,252,55068,10031,368,1282,1142,30531,8552,39988,12537,34655,17,334,11586,12372,131572,135766,50976,251
MEG_7289|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGB,1148,0,0,0,0,0,573,311,1170,0,342,0,0,0,0,657,0,0,278,0,0,0,0,0,0,0,0,0,0,0,235,0,0,505,1228,0,0,0,0,0,0,0
MEG_1053|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,6543,6412,48013,5913,6149,8996,7183,8755,4580,23994,5615,10716,13558,13100,18592,14025,2659,0,1549,7521,4994,10789,83266,8899,5025,4304,86630,11743,8017,18049,8717,13385,3162,6102,31941,12703,2850,2473,2128,27872,10107,47714
MEG_2499|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,152,135,2356,58,95,90,74,88,75,1174,92,71,172,203,33,253,15,0,30,27,0,0,581,21,432,77,1956,164,244,958,247,1407,261,0,38,221,51,35,135,376,0,539
MEG_7502|Drugs|Glycopeptides|VanC-type_regulator|VANSC,55,0,91,0,0,0,0,0,0,285,0,0,37,0,81,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,493,2152,37185,487,628,1600,4326,1660,1785,23636,2793,1142,2138,4460,959,5564,1274,0,508,728,2081,2359,322,1400,1614,595,1612,1029,1250,2085,1753,2275,0,122,2822,337496,545,518,268,331,882,1454
MEG_366|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,158,54,0,0,140,132,47,66,62,0,102,103,14,151,0,345,26,0,0,0,0,136,0,0,315,116,0,0,179,561,186,336,0,0,0,0,82,54,96,129,0,0
MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B,300,1019,19559,265,376,765,2099,850,894,11772,1604,717,907,2456,493,2872,689,0,334,424,0,1195,173,727,1262,298,719,0,410,1235,991,1218,0,0,739,169078,285,250,170,159,410,815
MEG_172|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,1079,0,0,0,0,0,0,88,0,0,27,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
MEG_6993|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,728,6766,2658,26751,2945,5126,9260,9714,4645,7740,6770,5171,2448,7552,6418,13556,6303,0,546,2758,3012,6813,1293,15678,2201,1893,2013,10831,5483,4537,6011,3922,827,68,8364,11820,1042,697,681,831,1107,8336
MEG_2690|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBB,26,199,2485,0,41,114,420,188,82,1521,243,107,306,476,102,506,130,0,60,73,304,242,32,125,181,83,89,0,60,227,137,269,0,0,431,18656,58,50,57,46,83,147
MEG_1346|Drugs|betalactams|Class_A_betalactamases|BLAZ,33,202,0,0,460,0,0,0,132,0,0,655,0,0,0,0,0,0,558,118,848,0,0,0,363,141,0,0,259,1099,199,888,1433,381,0,0,365,127,2662,1183,222,0
MEG_7118|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1100,1333,21803,9074,1488,2889,830,3189,1365,4219,1140,2211,10298,2600,6532,2065,963,0,2082,759,1093,709,7878,10166,874,3799,4392,5497,2612,2573,3301,2906,2581,162,3303,2984,1671,1585,2999,457,233,5466
MEG_6834|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,35,0,28,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,48,134,2264,41,38,90,206,89,122,842,177,65,78,276,33,421,78,0,94,73,72,89,16,46,480,95,66,51,95,163,154,257,32,12,109,14799,71,16,41,27,36,100
MEG_4177|Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR,257,691,12803,124,190,365,1268,575,519,8794,1075,503,693,1536,365,1513,389,0,99,254,438,797,96,534,508,207,655,256,204,695,491,1205,0,34,827,109317,151,228,108,140,272,614
MEG_7143|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1206,4358,3455,8295,1300,2752,679,3306,1755,1706,809,1841,5586,1380,6076,1301,488,0,1655,1119,1436,614,9981,9453,488,2958,4980,4655,2205,1983,2331,1961,2511,300,809,1539,1445,1051,1625,695,170,5627
MEG_770|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1100,718,1222,231,846,1563,561,835,597,1165,595,10905,1133,1984,1831,2325,454,0,170,1260,1173,1964,809,720,1020,916,329,186,1141,3932,1089,2633,459,65,2954,733,607,303,576,1025,276,1090
MEG_1118|Drugs|Multi-drug_resistance|MDR_regulator|ARLS,0,0,33,0,0,42,0,19,0,0,0,0,36,0,0,0,0,0,299,0,237,0,0,51,0,526,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
MEG_127|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,347,0,0,0,0,0,183,0,0
MEG_3703|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2893|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,139,201,3203,0,75,56,429,69,163,990,273,139,323,338,48,655,150,0,0,105,0,287,0,77,0,59,135,0,95,110,170,174,0,29,127,120524,37,57,0,28,56,0
MEG_702|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1095|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,6236,5894,45595,5734,5657,8009,6376,7924,4586,24087,6390,10065,19894,12453,17146,12502,2935,0,1375,6207,5301,10943,75522,7982,4821,4316,75004,11476,6809,16178,8508,12502,2285,5903,8257,12403,2799,2110,1968,24324,10270,44854
MEG_1145|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,128,0,0,0,0,48,0,0
